Quarter,Date,LOG_CLOSE,LOG_GROSS,LOG_NET,LOG_ASSETS,LOG_LIABILITIES,LOG_VOL,LOG_EPS
2009Q4,12/26/2009,2.876794976,11.80692578,11.52865965,12.73179821,12.25906801,11.06883448,1.113943352
2010Q1,3/27/2010,2.923761961,11.75012253,11.48770386,12.75630893,12.24819404,11.1337997,1.079181246
2010Q2,6/26/2010,2.953276337,11.78788535,11.51228406,12.81107206,12.33473515,11.22590766,1.113943352
2010Q3,9/25/2010,3.005609445,11.87575558,11.63427569,12.87611965,12.43762374,11.12237941,1.230448921
2010Q4,12/25/2010,3.061452479,12.01275289,11.77844068,12.93822943,12.5061802,11.01121613,1.361727836
2011Q1,3/26/2011,3.095169351,12.0093659,11.77720926,12.97728452,12.5240974,11.05035129,1.361727836
2011Q2,6/25/2011,3.078819183,12.07634912,11.86379854,13.02840043,12.57304575,10.95824469,1.447158031
2011Q3,9/24/2011,3.134177108,12.05614226,11.82105476,13.06584477,12.59940268,11.14141239,1.397940009
2011Q4,12/31/2011,3.160168293,12.31603328,12.11607617,13.14201696,12.68687748,11.0064482,0.698970004
2012Q1,3/31/2012,3.330616667,12.26867156,12.06528087,13.17878708,12.68516827,11.08197079,1.643452676
2012Q2,6/30/2012,3.319314304,12.17591751,11.9456655,13.21191042,12.70884564,11.09146054,1.531478917
2012Q3,9/29/2012,3.377124042,12.15839265,11.91503029,13.24567056,12.76233339,10.97422631,1.491361694
2012Q4,12/29/2012,3.278982117,12.32345837,12.11654133,13.29245102,12.83722216,11.12349661,0.698970004
2013Q1,3/30/2013,3.19893187,12.21349119,11.97986692,13.28946186,12.77271034,11.0531541,1.556302501
2013Q2,6/29/2013,3.151063253,12.11474439,11.83884909,13.30071719,12.88367279,10.99117674,1.431363764
2013Q3,9/28/2013,3.231214648,12.14210777,11.87575558,13.31597035,12.92143155,10.91900315,0.477121255
2013Q4,12/28/2013,3.301897717,12.33937193,12.11634204,13.35253753,12.98000337,10.85651148,1.716003344
2014Q1,3/29/2014,3.282622113,12.25399186,12.00957836,13.31384403,12.9335379,10.84766968,1.62324929
2014Q2,6/28/2014,3.36604921,12.16835014,11.88918961,13.34736905,13.00680821,11.10990439,1.505149978
2014Q3,9/27/2014,3.401228167,12.2043642,11.92772956,13.36518649,13.08023675,11.54412097,1.556302501
2014Q4,12/27/2014,3.440909082,12.47335557,12.25585118,13.41812555,13.14165668,11.51248797,1.886490725
2015Q1,3/28/2015,3.492900011,12.37394131,12.13254784,13.4169632,13.12119203,11.55393652,1.770852012
2015Q2,6/27/2015,3.496376054,12.29404716,12.02844924,13.43640279,13.16871546,11.45161675,1.672097858
2015Q3,9/26/2015,3.440594262,12.31276956,12.04626098,13.46291435,13.23297071,11.58794828,1.69019608
2015Q4,12/26/2015,3.420285885,12.48320204,12.26389633,13.46728837,13.21752869,11.4451324,1.919078092
2016Q1,3/26/2016,3.435366507,12.29931114,12.02185058,13.48469409,13.24259112,11.45160947,1.681241237
2016Q2,6/25/2016,3.378397901,12.20698769,11.89187183,13.48515619,13.25300101,11.40724787,1.556302501
2016Q3,9/24/2016,3.451172158,12.25073707,11.95491755,13.50743216,13.28653955,11.35907716,1.62324929
2016Q4,12/31/2016,3.461798558,12.47966167,12.25263462,13.52001296,13.29830932,11.30475775,1.924279286
2017Q1,4/1/2017,3.555336328,12.31367744,12.04253614,13.52443767,13.30200606,11.23054878,1.72427587
2017Q2,7/1/2017,3.556423121,12.24274014,11.94036705,13.53803682,13.32786549,11.23337818,1.62324929
2017Q3,9/30/2017,3.585799009,12.29952909,12.02995164,13.57440055,13.38250692,11.24638109,1.716003344
2017Q4,12/30/2017,3.626443025,12.5303534,12.30243916,13.60937454,13.425852,11.21382008,1.991226076
2018Q1,3/31/2018,3.622731965,12.36962398,12.14057089,13.56525971,13.38133894,11.36197349,1.838849091
2018Q2,6/30/2018,3.66539335,12.31007701,12.06141478,13.5430705,13.36967589,11.25886723,1.770852012
2018Q3,9/29/2018,3.751587005,12.38172862,12.14998846,13.56315465,13.41259157,11.24874174,1.86923172
2018Q4,12/29/2018,3.595936906,12.5055705,12.30026931,13.57254518,13.40794638,11.42314968,2.021189299
2019Q1,3/30/2019,3.67660217,12.33887465,12.0629954,13.53402357,13.37316588,11.28827344,1.792391689
2019Q2,6/29/2019,3.694429691,12.30593147,12.0019067,13.5081781,13.35369124,11.24570834,1.740362689
2019Q3,9/28/2019,3.748110467,12.38583855,12.13627654,13.5295792,13.39450071,11.23169416,1.880813592
2019Q4,12/28/2019,3.865755224,12.54675236,12.34705667,13.53226759,13.39982423,11.22181092,2.100370545
2020Q1,3/28/2020,3.803252211,12.34966598,12.05111392,13.50569251,13.3837705,11.48359405,1.806179974
2020Q2,6/27/2020,3.959994838,12.35564305,12.05126832,13.50153029,13.38927597,11.36466781,1.812913357
2020Q3,9/26/2020,4.063746062,12.3925035,12.10287943,13.51039486,13.41254286,11.7607724,1.86923172
2020Q4,12/26/2020,4.122838194,12.64667814,12.45871337,13.54906951,13.45913606,11.86327821,1.230448921
2021Q1,3/27/2021,4.086893471,12.58068553,12.37346372,13.52783347,13.42810238,11.82746763,2.149219113
2021Q2,6/26/2021,4.136593747,12.54722072,12.33733944,13.51830332,13.42416266,11.71643254,2.117271296
2021Q3,9/25/2021,4.15075644,12.54622176,12.31283296,13.54530959,13.45925977,11.71436149,2.096910013
2021Q4,12/25/2021,4.249369595,12.7343437,12.53945249,13.58114264,13.49032235,11.75600709,2.324282455
2022Q1,3/26/2022,4.242069112,12.62899141,12.39811369,13.54488871,13.45218985,11.7722807,2.187520721
2022Q2,6/25/2022,4.13583205,12.55491295,12.28874094,13.52673849,13.44436025,11.76627983,1.079181246
2022Q3,9/24/2022,4.140508043,12.58086798,12.31641071,13.54747318,13.48012629,11.70264288,2.11058971
2022Q4,12/31/2022,4.113709438,12.70184419,12.4770923,13.54001271,13.46242795,11.72173322,2.276461804
2023Q1,4/1/2023,4.217220656,12.62300105,12.38309693,13.52134733,13.43136698,11.63057111,2.184691431
2023Q2,7/1/2023,4.287734566,12.56125646,12.29843823,13.52509407,13.43895983,11.54937168,2.103803721
2023Q3,9/30/2023,4.233529127,12.60667151,12.36089622,13.54726137,13.46305194,11.56325079,2.167317335
2023Q4,12/30/2023,4.284498411,12.73921622,12.53040463,13.54840662,13.44624816,11.52319839,2.340444115
2024Q1,3/30/2024,4.234213475,12.62604252,12.37357398,13.52815924,13.42031393,11.57776219,2.184691431
2024Q2,6/29/2024,4.323499608,12.59854977,12.3313868,13.52063024,13.42308852,11.63415229,1.146128036
